image,dice,iou
sample_0195_heatmap.png,0.954048,0.912155
sample_0196_heatmap.png,0.495416,0.329449
sample_0197_heatmap.png,0.758523,0.611872
sample_0198_heatmap.png,0.940751,0.888146
sample_0199_heatmap.png,0.906738,0.829442
sample_0200_heatmap.png,0.893907,0.808193
sample_0201_heatmap.png,0.974249,0.949797
sample_0202_heatmap.png,0.001488,0.001488
sample_0203_heatmap.png,0.717742,0.560301
sample_0204_heatmap.png,0.906586,0.829188
sample_0205_heatmap.png,0.907368,0.830475
sample_0206_heatmap.png,0.684633,0.520906
sample_0207_heatmap.png,0.919672,0.851515
sample_0208_heatmap.png,0.926718,0.863470
sample_0209_heatmap.png,0.701247,0.540006
sample_0210_heatmap.png,0.856620,0.749361
sample_0211_heatmap.png,0.888948,0.800192
sample_0212_heatmap.png,0.973256,0.947914
sample_0213_heatmap.png,0.636628,0.468085
sample_0214_heatmap.png,0.958333,0.920017
sample_0215_heatmap.png,0.906798,0.829554
sample_0216_heatmap.png,0.945107,0.895939
sample_0217_heatmap.png,0.951688,0.907856
sample_0218_heatmap.png,0.004016,0.004016
sample_0219_heatmap.png,0.697888,0.536160
sample_0220_heatmap.png,0.838341,0.721708
sample_0221_heatmap.png,0.899545,0.817506
sample_0222_heatmap.png,0.917726,0.847978
sample_0223_heatmap.png,0.933507,0.875330
sample_0224_heatmap.png,0.951412,0.907348
sample_0225_heatmap.png,0.950313,0.905344
sample_0226_heatmap.png,0.952255,0.908879
sample_0227_heatmap.png,0.692730,0.530398
sample_0228_heatmap.png,0.373616,0.230159
sample_0229_heatmap.png,0.913285,0.840445
sample_0230_heatmap.png,0.409632,0.257835
sample_0231_heatmap.png,0.939088,0.885194
sample_0232_heatmap.png,0.721390,0.564430
sample_0233_heatmap.png,0.790936,0.654244
sample_0234_heatmap.png,0.967551,0.937157
sample_0235_heatmap.png,0.889979,0.801789
sample_0236_heatmap.png,0.942486,0.891251
sample_0237_heatmap.png,0.971364,0.944332
sample_0238_heatmap.png,0.739648,0.587028
sample_0239_heatmap.png,0.001887,0.001887
sample_0240_heatmap.png,0.652266,0.484375
sample_0241_heatmap.png,0.723178,0.566514
sample_0242_heatmap.png,0.892002,0.805087
sample_0243_heatmap.png,0.868650,0.767823
sample_0244_heatmap.png,0.710100,0.550555
sample_0245_heatmap.png,0.430233,0.279412
sample_0246_heatmap.png,0.938235,0.883764
sample_0247_heatmap.png,0.817961,0.692623
sample_0248_heatmap.png,0.738603,0.585631
sample_0249_heatmap.png,0.912986,0.839935
sample_0250_heatmap.png,0.948484,0.902026
sample_0251_heatmap.png,0.657113,0.489386
sample_0252_heatmap.png,0.917238,0.847152
sample_0253_heatmap.png,0.434511,0.278515
sample_0254_heatmap.png,0.934126,0.876407
sample_0255_heatmap.png,0.638614,0.471014
sample_0256_heatmap.png,0.834544,0.716143
sample_0257_heatmap.png,0.150696,0.081871
sample_0258_heatmap.png,0.881184,0.787641
sample_0259_heatmap.png,0.890957,0.803390
sample_0260_heatmap.png,0.955947,0.915633
sample_0261_heatmap.png,0.289617,0.169624
sample_0262_heatmap.png,0.902083,0.821970
sample_0263_heatmap.png,0.729044,0.573709
sample_0264_heatmap.png,0.714094,0.555390
sample_0265_heatmap.png,0.969943,0.941650
sample_0266_heatmap.png,0.859252,0.753309
sample_0267_heatmap.png,0.836788,0.720000
sample_0268_heatmap.png,0.911059,0.836660
sample_0269_heatmap.png,0.952869,0.910000
sample_0270_heatmap.png,0.203883,0.118280
sample_0271_heatmap.png,0.770145,0.626609
sample_0272_heatmap.png,0.001610,0.001610
sample_0273_heatmap.png,0.869753,0.769593
sample_0274_heatmap.png,0.891099,0.803600
